fd_id,firmzone,ground_elv,sqft,st_damcat,val_struct,cbfips,x,y
480917699,AE,9.885480713977813,2066.78,RES,285485.153,481677244002028,-94.77546971,29.303762952
480923016,AE,4.996719326257706,1590.0,RES,196292.178,481677258003048,-94.83752856,29.277886803
481123815,AE,8.270509238586426,800.0,RES,79010.688,481677251002003,-94.8110775,29.291931
480918006,AE,9.015441385793686,1506.0,RES,115826.646,481677243002003,-94.7769955,29.3058165
481004359,AE,10.435871742315292,1500.0,RES,55783.494,481677209003013,-95.05835976,29.464355266
480957840,AE,5.71869156018734,866.0,RES,142808.015,481677261001149,-94.97731471,29.184364836
480947384,AE,4.449621024432182,1595.0,RES,196615.554,481677238003007,-94.94075949,29.327207193
480926051,AE,4.996719326257706,2180.0,RES,241092.417,481677257002007,-94.84740677,29.264627496
481144114,AE,4.870754839601517,768.0,RES,133292.681,481677261002080,-95.04799432,29.141753034
480912507,AE,5.349066093859673,1152.0,RES,114964.088,481677239004114,-94.63830317,29.462843829
481098783,AE,14.103044500617981,1371.48,RES,226322.537,481677236001015,-95.03182645,29.351531196
480955431,AE,16.486340209293367,1214.0,RES,170023.541,481677236003026,-95.03507705,29.336232372
481026562,AE,12.080901324768066,1464.0,RES,131727.562,481677213003011,-95.0903005,29.5167145
480919330,AE,9.00199435848236,2868.0,RES,186693.529,481677251002031,-94.8096715,29.290065
480976679,AE,11.980087339487076,2381.0,RES,188356.971,481677210001014,-95.02295184,29.462349483
481086069,AE,5.8863581797647475,1743.0,RES,148834.367,481677242001018,-94.76989591,29.317411793
480945089,AE,5.050142141933441,1512.0,RES,197205.016,481677238003034,-94.93623098,29.328732499
480918597,AE,8.746700303936004,5062.0,RES,278660.658,481677243002007,-94.78083929,29.304476565
480954100,AE,2.1891695539140703,2866.0,RES,283076.913,481677236003093,-94.96647951,29.289119792
481156463,VE,4.577165190668106,4477.0,RES,447554.493,481677238002055,-94.91814515,29.30134623
481085793,VE,5.587540217728614,1115.09,RES,175126.193,481677239002134,-94.701899,29.4120575
481142173,AE,8.255808323497773,1920.0,RES,145757.03,481677251001020,-94.80874594,29.293344788
480928574,AE,4.996719326257706,2576.0,RES,268843.889,481677257001016,-94.8434745,29.267614
480934161,VE,4.699262024102211,1802.0,RES,231004.447,481677238002078,-94.91303183,29.295632722
481016665,AE,4.520259570670127,1144.0,RES,165059.695,481677215002026,-95.05203081,29.548610984
480934122,VE,3.8956118688869474,1638.0,RES,215932.584,481677238002078,-94.91384078,29.294708094
480971805,AE,3.9513774131298063,1064.0,RES,158849.691,481677261001160,-94.98056717,29.192830971
481007045,VE,5.0032809217786784,1624.0,RES,199029.338,481677261002031,-95.064323,29.1301865
481157815,AE,9.617360709409713,944.0,RES,87916.9614,481677237001034,-94.98850536,29.343151971
480930038,AE,4.996719326257706,1388.0,RES,181932.368,481677240002091,-94.86352585,29.292416755
481139005,AE,9.134906462879181,1214.0,RES,170023.541,481677261001057,-94.93770658,29.205026368
480987704,AE,11.141259882850648,2676.0,RES,290739.549,481677214003023,-95.04191056,29.537971735
480973878,AE,3.142235143406391,816.0,RES,104575.716,481677210001007,-95.01164978,29.465437194
480917561,AE,9.86312506040573,1277.0,RES,104760.274,481677247002030,-94.79783127,29.292079925
480922820,AE,4.996719326257706,1534.0,RES,135651.71,481677256003009,-94.83725333,29.269978378
480963647,VE,6.040237900390625,3219.0,RES,307978.347,481677261002046,-94.9925572,29.170468906
481097665,AE,12.675980193853379,1152.0,RES,98627.9804,481677237002015,-95.00732458,29.346663102
480974012,AE,14.688685967311859,2023.0,RES,142624.658,481677236002045,-95.02097272,29.34273639
480963644,VE,4.915228353929519,1542.0,RES,193094.014,481677261002046,-94.98584491,29.173682334
480982626,AE,12.321334110517501,881.177,RES,38002.6371,481677211001045,-95.03535332,29.466285103
480987690,AE,11.974252028932572,2592.0,RES,286026.237,481677214003023,-95.04267109,29.536987826
480982853,AE,12.736116745519638,3122.79,RES,413117.622,481677211004037,-95.031185,29.4787435
481110982,AE,8.99893825146675,1662.0,RES,123806.755,481677244002045,-94.78529329,29.300549102
480966853,AE,8.5354941326046,1316.0,RES,106635.713,481677237001019,-94.9834536,29.339054183
480924036,AE,7.463165863695145,1812.0,RES,131975.738,481677253002008,-94.820455,29.290876
480993614,A,15.842046831607819,1581.54,RES,57721.8047,481677211004059,-95.0544366,29.476925787
480899538,AE,12.629111542673112,2741.0,RES,317785.817,481677212021001,-95.01322063,29.507602379
480927801,AE,4.996719326257706,1896.0,RES,136333.06,481677258002032,-94.83759767,29.275697891
481167121,AE,13.580105244922638,1376.0,RES,109367.773,481677211002018,-95.04489537,29.474122824
